复旦经济,句子数量,815851,方法,mi,support,10,阈值,200
复合词,复合词,复合词数量,词1数量,词2数量,方法算出值
墙鹑,墙/鹑,13,105,367,275.231944985
回事,回/事,41,283,432,273.605311805
逯谱,逯/谱,10,233,43,814.303822737
高培勇教授,高培勇/教授,14,26,540,813.526638177
斯密,斯/密,43,320,83,1320.84310994
浞掷,浞/掷,15,88,57,2439.7458134
蹲嗜,蹲/嗜,11,248,21,1723.18759601
江总书记,江/总书记,22,184,68,1434.5206202
鼎盛时期,鼎盛/时期,13,16,3034,218.483499506
电气机械,电气/机械,34,82,594,569.494415702
反应迟钝,反应/迟钝,11,299,18,1667.47696024
回稳,回/稳,13,283,142,263.92432688
人类学笔记,人类学/笔记,14,68,29,5792.04563895
塘鱼,塘/鱼,12,47,88,2367.07253385
壑倒,壑/倒,15,99,201,614.993969546
主席格林斯潘,主席/格林斯潘,12,111,40,2205.0027027
柿俊,柿/俊,10,88,60,1545.17234848
合同金额,合同/金额,38,531,254,229.861485535
Ｊ紫,Ｊ/紫,11,142,29,2179.30087421
挠攀,挠/攀,23,151,174,714.187904392
剩余控制权,剩余/控制权,20,578,83,340.122149498
贪污腐败,贪污/腐败,14,44,235,1104.63384913
加入世界贸易组织,加入/世界贸易组织,74,860,204,344.123198814
Ｊ剑,Ｊ/剑,12,142,147,469.014659385
臼谐,臼/谐,45,74,832,596.304817438
Ｊ健,Ｊ/健,15,142,140,615.581740443
煌耆,煌/耆,14,140,61,1337.46065574
蹲剩,蹲/剩,24,248,104,759.166563275
Ｊ导,Ｊ/导,10,142,265,216.808663301
边检,边/检,12,138,33,2149.80500659
中间消耗,中间/消耗,28,342,275,242.890249867
重化工业,重化工/业,56,79,1615,358.095826312
买卖双方,买卖/双方,33,198,493,275.811697093
首脑会议,首脑/会议,54,70,670,939.359360341
翻译出版,翻译/出版,23,96,431,453.51346191
⒐芾,⒐/芾,16,161,190,426.728211834
热门话题,热门/话题,16,38,59,5822.30865299
苯拥,苯/拥,11,111,53,1525.47356791
互为因果,互为/因果,23,47,79,5053.74979801
督鹑,督/鹑,15,68,367,490.373657637
副书记,副/书记,10,324,45,559.568587106
省委党校,省委/党校,24,69,94,3018.87511563
通用汽车,通用/汽车,32,161,779,208.160103334
演进轨迹,演进/轨迹,16,281,157,295.886302332
搭便车,搭/便车,52,77,53,10395.5530507
责任编辑,责任/编辑,627,1633,686,456.633837631
数理统计学,数理/统计学,17,71,256,763.064865757
第1卷,第1/卷,106,385,1081,207.792702764
姆绞,姆/绞,21,328,204,256.050798063
蹲驶,蹲/驶,14,248,50,921.122096774
备查簿,备查/簿,10,10,70,11655.0142857
逯疲,逯/疲,16,233,191,293.319911017
股市暴跌,股市/暴跌,11,829,53,204.255206318
姆峙,姆/峙,10,328,87,285.902368937
Ｎ夜,Ｎ/夜,23,145,307,421.533707739
深圳经济特区,深圳/经济特区,95,1371,254,222.568287416
充满生机,充满/生机,26,189,99,1133.67142323
冗余人员,冗余/人员,14,21,1956,278.067825494
⒄菇,⒄/菇,17,852,42,387.588503242
抵销,抵/销,29,231,192,533.452358405
鑫侍,鑫/侍,16,31,282,1493.20704644
⒄骨,⒄/骨,14,852,19,705.579070917
⒄鼓,⒄/鼓,14,852,37,362.324387768
匀唬,匀/唬,11,165,151,360.199116998
畸型,畸/型,20,30,1712,317.698987539
依法办事,依法/办事,10,268,109,279.286252225
魈宓,魈/宓,21,107,154,1039.74214104
严厉打击,严厉/打击,10,67,202,602.815871139
≡瘛,≡/瘛,16,97,63,2136.08509246
⒔鹑,⒔/鹑,19,86,367,491.133926874
谕蹲,谕/蹲,11,80,248,452.336743952
匀皇,匀/皇,12,165,214,277.264570943
灵活多样,灵活/多样,13,354,68,440.597499169
陕西财经,陕西/财经,12,99,339,291.713953696
钠笠,钠/笠,43,101,945,367.558206297
绞健,绞/健,15,204,140,428.493172269
倒U,倒/U,11,201,92,485.310458577
绞剑,绞/剑,32,204,147,870.589302388
黾恿,黾/恿,11,112,26,3081.85473901
黾樱,黾/樱,11,112,36,2225.78397817
陆路运输,陆路/运输,10,48,721,235.740580213
联书店,联/书店,167,365,192,1944.16548231
绅士阶层,绅士/阶层,27,57,386,1001.18066539
主板,主/板,29,183,177,730.439906147
交通不便,交通/不便,29,758,41,761.299922775
公费医疗,公费/医疗,21,22,374,2082.26434127
学术讨论会,学术/讨论会,19,439,31,1139.03806305
造币,造/币,13,87,176,692.663466562
临界值,临界/值,11,21,764,559.359324358
麦金农教授,麦金农/教授,10,35,540,431.667195767
赡艿,赡/艿,20,188,142,611.215912496
留住人才,留住/人才,13,30,1638,215.833597884
⒄构,⒄/构,26,852,120,207.473845853
抵校,抵/校,13,231,205,223.969232394
福利分房,福利/分房,17,824,24,701.328226133
相互依存,相互/依存,84,1562,135,324.993996301
权力下放,权力/下放,24,902,86,252.416129531
农用生产资料,农用/生产资料,21,46,822,453.106712155
统计年鉴,统计/年鉴,275,2412,349,266.526756143
蔡ｆ,蔡/ｆ,34,55,37,13630.9257985
⒄刮,⒄/刮,18,852,65,265.173672806
网上购物,网上/购物,28,318,93,772.429431257
⒄垢,⒄/垢,11,852,41,256.909452651
懿棵,懿/棵,10,35,137,1701.46193952
产地批发,产地/批发,15,64,169,1131.45016642
第3卷,第3/卷,183,384,1081,359.670668074
平抑物价,平抑/物价,10,20,930,438.629569892
信贷配给,信贷/配给,11,945,38,249.912587023
基尼系数,基尼/系数,126,128,550,1460.18786932
建筑材料,建筑/材料,25,217,326,288.3191739
信用评级,信用/评级,11,591,28,542.322999758
拗疲,拗/疲,14,36,191,1661.12769052
重新审视,重新/审视,45,768,90,531.152994792
国防开支,国防/开支,12,98,309,323.301367149
值得商榷,值得/商榷,11,483,26,714.632982959
铸币税,铸币/税,18,32,851,539.266965335
三分天下,三分/天下,16,26,94,5341.08674304
耕犁,耕/犁,13,163,41,1587.02124794
鹄吹,鹄/吹,13,59,154,1167.29727053
集体农庄,集体/农庄,14,1055,19,569.813619356
跃升,跃/升,23,134,206,679.777314882
边际产出率,边际/产出率,11,768,50,233.707317708
尽人意,尽/人意,10,144,16,3541.01996528
非均衡性,非/均衡性,21,2001,28,305.791229385
哪谠,哪/谠,12,302,70,463.113150426
公用设施,公用/设施,16,37,1436,245.68275239
跃迁,跃/迁,12,134,105,695.821748401
工场手工业,工场/手工业,21,36,137,3473.81812652
遭到破坏,遭到/破坏,21,123,469,296.997087732
⑹谐,⑹/谐,23,89,832,253.41093615
普尔500,普尔/500,10,32,145,1758.29956897
旅游景点,旅游/景点,19,1210,31,413.254305519
烟草加工业,烟草/加工业,13,51,428,485.892569177
哪勘,哪/勘,17,302,111,413.742228984
税务司,税务/司,16,189,192,359.722663139
个体工商户,个体/工商户,47,817,48,977.789601183
退耕,退/耕,21,348,163,302.039189761
工农业总产值,工农业/总产值,45,154,593,402.020268938
污染排放,污染/排放,10,450,58,312.586590038
售假,售/假,10,72,169,670.488987508
畲蠡,畲/蠡,25,62,53,6207.02221546
三峡工程,三峡/工程,13,20,744,712.773051075
易货,易/货,25,289,238,296.535067314
乱集资,乱/集资,10,253,73,441.740754778
锰跫,锰/跫,11,113,174,456.431746516
