句子数量,56221,方法,mi,support,5,阈值,100
复合词,复合词,复合词数量,词1数量,词2数量,方法算出值
难度系数,难度/系数,47,128,48,430.076009115
金东文,金东/文,16,16,19,2959.0
南斯拉夫男排,南斯拉夫/男排,6,35,40,240.947142857
中体网,中体/网,7,8,100,491.93375
带回,带/回,5,39,68,105.997360483
经验不足,经验/不足,5,68,22,187.904411765
一百万元,一百万/元,7,7,35,1606.31428571
运动管理,运动/管理,10,132,35,121.69047619
当地时间,当地/时间,9,14,131,275.893675027
6月18日,6月/18日,5,44,63,101.408730159
夺金,夺/金,77,187,208,111.297228507
小将胡佳,小将/胡佳,5,41,57,120.284552846
入选国家队,入选/国家队,6,22,49,312.918367347
实力雄厚,实力/雄厚,6,210,10,160.631428571
头号种子,头号/种子,11,27,101,226.780711404
发起冲击,发起/冲击,7,14,35,803.157142857
合同书,合同/书,5,7,7,5736.83673469
职业棒球,职业/棒球,5,37,58,130.990214352
1996年亚特兰大,1996年/亚特兰大,23,58,122,182.742085924
双保险,双/保险,7,42,12,780.847222222
2002年4月,2002年/4月,6,28,16,752.959821429
周半,周/半,11,48,64,201.312174479
东道主澳大利亚,东道主/澳大利亚,6,20,138,122.219565217
盛装舞步,盛装/舞步,14,14,14,4015.78571429
35岁,35/岁,8,13,214,161.670740474
桑雪,桑/雪,12,15,15,2998.45333333
联合会杯,联合会/杯,5,55,18,283.944444444
胡进,胡/进,11,28,109,202.631389253
8月13日,8月/13日,5,132,21,101.408730159
抓住机会,抓住/机会,7,13,133,227.615384615
黄指导,黄/指导,5,22,23,555.543478261
经验丰富,经验/丰富,6,68,25,198.427058824
罚下,罚/下,15,26,306,105.997360483
裁判打分,裁判/打分,5,101,11,253.01980198
记者问,记者/问,18,185,46,118.916333725
10月1日,10月/1日,39,49,55,813.587755102
综合电,综合/电,20,41,96,285.675813008
整体实力,整体/实力,15,35,210,114.736734694
竞技状态,竞技/状态,5,23,90,135.799516908
8月4日,8月/4日,9,132,15,255.55
继续留,继续/留,5,64,20,219.61328125
火情,火/情,8,12,15,2498.71111111
国际田联,国际/田联,6,326,9,114.971370143
老将叶诚万,老将/叶诚万,5,68,25,165.355882353
女摔,女/摔,10,107,18,291.905503634
接发球,接/发球,11,36,82,209.495596206
负于克罗地亚,负于/克罗地亚,5,34,45,183.72875817
轮过后,轮/过后,7,97,11,368.835051546
体育总局,体育/总局,31,143,31,393.153846154
罗格,罗/格,10,17,13,2543.93665158
夺标热门,夺标/热门,6,26,39,332.668639053
纪录保持者,纪录/保持者,48,124,48,453.39516129
希望寄托,希望/寄托,6,166,10,203.208433735
肯雅,肯/雅,5,11,5,5111.0
服用兴奋剂,服用/兴奋剂,16,35,52,494.250549451
1999年11月,1999年/11月,6,23,30,488.87826087
２００８年北京,２００８年/北京,5,13,127,170.263476681
抱膝,抱/膝,5,18,5,3123.38888889
刘MM,刘/MM,22,37,48,696.431306306
2002年1月,2002年/1月,5,28,10,1003.94642857
混合双打,混合/双打,15,21,121,331.883116883
4X100米,4X100/米,5,5,536,104.889925373
水上运动,水上/运动,6,21,132,121.69047619
开赛以来,开赛/以来,6,17,59,336.317048853
陶利马,陶/利马,8,26,8,2162.34615385
协会主席,协会/主席,7,37,69,154.150802977
２００４年雅典,２００４年/雅典,5,9,75,416.451851852
奥林匹克公园,奥林匹克/公园,5,29,11,881.206896552
支队伍,支/队伍,12,64,56,188.239955357
观众致意,观众/致意,5,54,6,867.608024691
一百米,一百/米,5,5,536,104.889925373
谢亚龙,谢/亚龙,16,17,16,3307.11764706
副攻,副/攻,6,43,19,412.88372093
羽球,羽/球,34,47,200,203.352553191
严重失误,严重/失误,6,18,167,112.21756487
元人民币,元/人民币,9,35,9,1606.31428571
比分追,比分/追,13,123,42,141.47754549
王银行,王/银行,9,50,9,1124.42
组初赛,组/初赛,6,62,13,418.518610422
B组,B/组,12,13,62,837.037220844
压水花,压/水花,5,37,27,281.386386386
主教练胡进,主教练/胡进,7,32,62,198.360383065
领队周继红,领队/周继红,11,60,45,229.048518519
号种子,号/种子,54,83,101,362.15364428
件事,件/事,9,28,43,420.256644518
8月15日,8月/15日,15,132,20,319.4375
银牌得主,银牌/得主,12,141,37,129.31799885
联合会主席,联合会/主席,10,55,69,148.144927536
联合早报,联合/早报,30,37,31,1470.47079337
尿检,尿/检,5,6,7,6692.97619048
封闭训练,封闭/训练,6,7,243,198.310405644
落败,落/败,9,54,90,104.112962963
文章来源,文章/来源,6,12,22,1277.75
记者采访,记者/采访,17,185,44,117.414864865
网讯,网/讯,8,100,20,224.884
裁项,裁/项,12,12,306,183.72875817
欧美,欧/美,13,17,48,895.677696078
新华社报道,新华社/报道,11,51,58,209.070655849
犯下,犯/下,5,9,306,102.071532317
情况下,情况/下,67,123,306,100.079892662
自由操,自由/操,23,26,23,2162.34615385
夏煊泽,夏煊/泽,11,16,14,2760.85267857
巨大压力,巨大/压力,7,26,98,154.453296703
敢拼,敢/拼,5,32,52,168.933293269
个人全能,个人/全能,36,122,79,209.997509857
男子柔道,男子/柔道,5,442,5,127.196832579
王MM,王/MM,23,50,48,538.784583333
全场最高分,全场/最高分,6,21,18,892.396825397
